Name,ID,L,a,b,LRV,R,G,B
Child of the Moon,914,63.322,16.5782,52.5741,0.319748,0.777618,0.553489,0.217489
Queenly Laugh,915,93.7985,1.44778,14.9699,0.848038,0.976256,0.923905,0.817107
Honey Cream,916,92.8178,3.18866,17.0425,0.825517,0.982135,0.908262,0.791059
Canyon Sand,917,87.2685,5.15019,25.6617,0.705553,0.948606,0.840582,0.6667
Good-Looking,918,85.6739,5.14405,25.075,0.673371,0.929463,0.823169,0.654247
Venice Square,919,81.4846,6.81135,30.4841,0.593518,0.901657,0.772614,0.570191
Sunrise Heat,920,68.7919,10.2718,39.0332,0.390561,0.791079,0.627888,0.378592
Waxen Moon,921,58.4885,14.5069,42.1736,0.264785,0.703523,0.510902,0.256076
Cheesecake,922,94.4351,-0.059508,12.4805,0.862874,0.966831,0.935163,0.842668
Tiffany Light,923,91.8847,3.7232,26.6822,0.804461,0.993107,0.895142,0.707793
First Day of School,924,88.881,5.35305,33.2884,0.739123,0.980487,0.856864,0.625706
Jonquil Trail,925,86.5595,7.20316,35.7541,0.69112,0.969809,0.826279,0.58294
Perky Yellow,926,83.7775,8.16903,40.8155,0.63639,0.950692,0.792832,0.515242
Lemon Poppy,927,74.498,12.3955,50.7313,0.474836,0.880449,0.681195,0.343509
Yellow Warning,928,63.8917,14.9264,54.1457,0.326686,0.775722,0.563728,0.207828
Yellow Bonnet,929,96.8589,-0.770203,7.2417,0.920943,0.976714,0.965051,0.909219
Marshmallow Fluff,930,95.9322,-0.862833,11.6347,0.898445,0.975791,0.95411,0.865465
Lemon Bubble,931,93.7153,0.918368,23.7625,0.846112,0.988761,0.923008,0.749134
Sun Splashed,932,88.0217,6.23844,37.5581,0.721105,0.982701,0.844621,0.583991
Sassy Yellow,933,81.5384,10.0427,45.8337,0.594501,0.942656,0.763151,0.453492
Lemon Essence,934,74.5825,12.2948,55.789,0.476166,0.885028,0.681955,0.301184
Yellow Shout,935,67.4423,15.1818,59.2172,0.372207,0.821458,0.59923,0.196064
Diantha,936,96.7424,-0.769398,13.0644,0.918095,0.988913,0.962789,0.863559
Egg Nog,937,96.516,-0.392621,17.2216,0.912575,0.998159,0.958666,0.82939
Primrose Path,938,91.563,3.79188,36.1536,0.797286,1.00496,0.890198,0.631424
Big Bus Yellow,939,89.4766,8.5653,44.7646,0.751785,1.02453,0.853804,0.543402
Grilled Cheese,940,84.3651,12.5498,59.1557,0.647701,1.00466,0.785883,0.372984
Glowing Lantern,941,79.2538,17.704,70.1555,0.553698,0.98302,0.715751,0.213443
Lemon Dream,942,73.0597,21.1416,76.6845,0.452554,0.931687,0.639901,-0.0124136
Picture Perfect,943,95.5139,-0.525545,17.0228,0.888409,0.98533,0.947737,0.819871
Sunrise Glow,944,95.3215,0.632906,23.5444,0.883818,1.00465,0.941761,0.768147
Treasure Seeker,945,94.1107,1.08524,32.7246,0.855293,1.01008,0.925842,0.684407
Hot Spot,946,92.4944,4.90005,42.4101,0.818179,1.03222,0.897015,0.592506
Bright Halo,947,87.7239,11.9981,60.2474,0.714929,1.04222,0.823922,0.398287
Bright Bubble,948,84.2342,17.4306,78.8169,0.64517,1.04694,0.769574,0.164121
Frenzy,949,79.5459,26.6648,89.412,0.558808,1.04827,0.691277,-0.248957
Ivory Coast,950,96.4766,-0.909109,11.8461,0.911617,0.98209,0.960327,0.869876
Pound Cake,951,95.2855,-1.12099,23.7515,0.882962,0.991738,0.945663,0.765748
Rich Glow,952,92.9438,2.36817,38.7262,0.828388,1.01485,0.90887,0.625516
Evening Star,953,86.9658,9.90428,61.6083,0.699366,1.02101,0.821131,0.377164
Mac N Cheese,954,82.4094,17.9641,76.7242,0.61057,1.02669,0.748475,0.169951
Lemon Whisper,955,78.6558,23.0275,79.7952,0.543335,1.01227,0.693325,0.0515858
I Love To Boogie,956,76.6964,26.2293,76.9481,0.510286,1.00541,0.662914,0.089376
Pale Narcissus,957,96.5626,-0.546521,9.74314,0.91371,0.981017,0.960743,0.886922
Holy Grail,958,94.7815,1.23141,20.2704,0.871019,0.996583,0.934672,0.787469
Essentially Bright,959,90.5143,6.30666,35.9195,0.774194,1.00974,0.872154,0.622898
Bread 'n Butter,960,87.4195,13.4322,46.5798,0.708652,1.03417,0.817947,0.509319
Gold's Great Touch,961,83.9396,20.065,56.4456,0.639497,1.04386,0.760422,0.395647
Pieces of Eight,962,79.3427,28.0881,70.4373,0.55525,1.04541,0.685668,0.22084
Zambia,963,74.1211,37.3574,77.3175,0.468928,1.03622,0.598929,0.0548895
Capetown Cream,964,93.9041,2.33962,15.876,0.850486,0.985928,0.922718,0.811582
Gold of Midas,965,93.8067,3.51735,20.0785,0.848227,1.00173,0.918031,0.778845
Starburst,966,89.7824,8.90029,30.5751,0.758344,1.01102,0.857953,0.657008
Endearment,967,89.4968,11.7093,33.7851,0.752219,1.03128,0.846909,0.630209
Mango Madness,968,79.7123,25.8954,50.2209,0.561732,1.02292,0.698068,0.406434
Au Gratin,969,74.9196,35.195,60.9639,0.481503,1.02614,0.615977,0.272529
Orange you Happy?,970,67.2963,45.3622,67.2687,0.370257,0.990206,0.497478,0.135284
May Sun,971,93.3832,2.72721,14.5237,0.83845,0.980067,0.916124,0.816213
Apple Cider,972,90.1612,8.01362,22.7352,0.766519,0.996615,0.865524,0.720375
Atoll Sand,973,86.9698,14.5636,31.5562,0.699449,1.01752,0.811644,0.621458
Goosebill,974,81.4074,22.064,40.2294,0.59211,1.01038,0.72884,0.500214
Downy Feather,975,77.0358,27.0553,47.4957,0.515912,0.995356,0.666168,0.401643
Cocktail Hour,976,73.3781,33.5998,53.3296,0.457425,0.99347,0.605718,0.321496
Cheddar Cheese,977,66.6822,38.4354,56.7725,0.362127,0.940833,0.518334,0.228567
City of Diamonds,978,92.4578,3.85959,16.0382,0.817352,0.980915,0.902703,0.794884
Liveliness,979,90.7364,7.30139,22.9028,0.779047,0.998554,0.873728,0.72511
Southern Breeze,980,87.9601,11.5749,28.3525,0.719825,1.00459,0.831052,0.655348
Tuscan Wall,981,83.4192,15.9983,33.201,0.62956,0.987637,0.768774,0.572384
Taste of Summer,982,76.7498,21.1911,40.2762,0.51117,0.950242,0.681528,0.452328
Japonica,983,70.3886,26.0541,49.0312,0.413044,0.911684,0.599031,0.322863
Mexican Spirit,984,62.7884,28.5509,52.0605,0.313338,0.83789,0.512406,0.224244
Whiskers,985,96.3522,1.10567,7.89176,0.908596,0.986971,0.954579,0.898992
Mineral Glow,986,93.0763,3.84853,15.2578,0.831415,0.986305,0.909752,0.80754
Tallow,987,87.2315,8.64833,23.7744,0.704794,0.969149,0.83142,0.681408
Mom's Apple Pie,988,78.1926,14.0536,34.9019,0.535397,0.916904,0.717607,0.505258
Impulse,989,67.0308,19.207,44.253,0.366728,0.829215,0.584884,0.324568
Butterscotch Glaze,990,61.0595,21.0076,43.2004,0.29316,0.770132,0.518618,0.275697
Beeswax Candle,991,58.9083,21.6322,43.2262,0.269287,0.749074,0.495035,0.255176
Touch of Topaz,992,91.7569,4.33457,12.0544,0.801607,0.968242,0.89431,0.817385
Incan Treasure,993,89.9205,7.53002,15.9813,0.761318,0.978218,0.865115,0.768543
Sparkle Glow,994,86.6621,9.44438,19.0193,0.693197,0.959993,0.823761,0.711162
Bread Pudding,995,80.1781,12.4937,25.8664,0.569974,0.917537,0.744242,0.592686
Spice Cookie,996,69.7331,18.1729,35.1261,0.403712,0.845501,0.616791,0.41999
Gates of Gold,997,66.3477,20.3149,38.2359,0.35775,0.822495,0.575221,0.36434
Gold Metal,998,55.438,19.4513,37.5907,0.233568,0.693573,0.467078,0.264375
Ivory Tassel,999,93.3796,2.71176,10.6281,0.83837,0.97159,0.91674,0.845635
Flower of Oahu,1000,89.8501,5.46035,15.9227,0.7598,0.962582,0.869672,0.767761
Cheddar Corn,1001,87.0749,8.7732,19.9554,0.701593,0.961719,0.829914,0.708418
Tea Cookie,1002,77.6247,12.392,22.0886,0.525772,0.882252,0.717607,0.594026
Sweet Sue,1003,73.3512,13.7226,25.5638,0.457011,0.847628,0.668147,0.525125
Peace of Mind,1004,61.6225,19.6505,30.7041,0.299633,0.757724,0.529479,0.373466
Flickering Flame,1005,52.4999,21.4727,31.0303,0.205918,0.666567,0.432717,0.285283
Turkscap,1006,88.0453,6.98757,16.5146,0.721595,0.954067,0.84573,0.744164
Pastel Peach,1007,84.3436,11.0705,20.3449,0.647284,0.946916,0.793926,0.676991
Mango Tango,1008,82.0924,11.4203,22.049,0.604689,0.926417,0.768298,0.640682
Bedtime Story,1009,75.8852,15.0871,23.652,0.497007,0.882237,0.691567,0.565329
Peanut Brittle,1010,66.4375,18.787,27.9847,0.358923,0.80385,0.581643,0.439754
Semolina,1011,56.06,22.2643,32.4983,0.239722,0.711827,0.465584,0.30845
Hampton Beach,1012,47.127,22.7928,31.757,0.161165,0.614925,0.376193,0.231297
Warm Bread,1013,92.5588,4.2453,11.9211,0.819635,0.976407,0.903492,0.827163
Muffin Magic,1014,90.0034,7.56847,14.7714,0.763107,0.977106,0.866119,0.778533
Canter Peach,1015,87.1352,9.96756,16.6305,0.702825,0.96472,0.827933,0.734179
November Leaf,1016,78.8298,18.5022,28.0058,0.546338,0.943518,0.712927,0.564548
Summer's End,1017,67.8783,24.8457,35.2779,0.378073,0.863572,0.577964,0.402889
Sunny Horizon,1018,63.4047,25.567,35.9688,0.320748,0.816719,0.529557,0.354556
