Name,ID,L,a,b,LRV,R,G,B
Hint of Vanilla,1,92.2782,0.665483,6.77195,0.813297,0.934965,0.910154,0.862147
Elusive White,2,90.4549,-0.080527,7.03933,0.7729,0.909487,0.891616,0.839881
Nilla Vanilla,3,93.3753,0.682821,6.14094,0.838269,0.945935,0.922484,0.879059
Child of Heaven,4,93.4116,0.444049,6.3823,0.839105,0.945093,0.92344,0.877595
Kiara,5,93.7637,1.20144,8.87057,0.847231,0.960652,0.925096,0.86285
Little Dove,6,89.7251,1.61293,10.0875,0.757113,0.921015,0.878857,0.809365
Cotton Ball,7,94.4906,0.16998,8.94007,0.864176,0.961186,0.935789,0.870165
Casa Blanca,8,93.6551,0.346158,10.8812,0.84472,0.957515,0.925671,0.846273
Chapel Wall,9,93.1707,0.784772,10.5547,0.833574,0.954623,0.919216,0.843493
Petticoat,10,91.2105,0.970903,12.2327,0.789474,0.937616,0.896611,0.809359
Sugar Dust,11,96.8558,-0.404607,4.75979,0.92087,0.973435,0.964538,0.928135
Bunny Cake,12,94.775,0.426444,7.26431,0.870867,0.962431,0.938627,0.886064
Sphere,13,92.3075,0.049072,14.8847,0.813957,0.948789,0.910704,0.80114
Twill,14,92.2053,0.355419,11.0699,0.811656,0.941656,0.909403,0.828898
White Glove,15,96.1741,-0.411941,8.54678,0.904283,0.974847,0.956227,0.891728
Pumice Stone,16,95.1354,0.036585,9.48787,0.879394,0.968726,0.943273,0.873133
Luna Moon,17,92.5401,-0.299859,4.31308,0.819212,0.924547,0.915864,0.883376
Dove White,18,89.9706,0.048017,5.57168,0.7624,0.901568,0.886162,0.845571
Mystic Fog,19,92.3642,-0.934857,4.07518,0.815237,0.917063,0.915487,0.883094
Bonaire,20,89.9328,0.015162,5.83704,0.761583,0.901531,0.885777,0.843161
Barely White,21,89.8928,-1.36409,2.64546,0.760721,0.882568,0.889215,0.866346
White Kitten,22,88.6888,-0.403197,2.05357,0.735067,0.875165,0.873632,0.857633
Shell Tint,23,94.3314,-2.08731,2.68862,0.860445,0.926515,0.940571,0.915259
Just About White,24,91.7133,-0.960001,3.92541,0.800633,0.909217,0.908301,0.876991
Prismatic Pearl,25,91.9112,-0.740297,5.8146,0.805054,0.917787,0.909657,0.865021
Moon Drop,26,85.6003,1.55543,7.07458,0.67191,0.86785,0.833947,0.786839
White Fence,27,90.7288,-0.176856,6.1264,0.778881,0.909644,0.89505,0.849727
Bannister White,28,89.1633,-1.04122,5.39919,0.745108,0.883822,0.879867,0.837768
Cherish is the Word,29,90.5616,-0.504577,5.23443,0.775225,0.903111,0.894135,0.854508
Lady Nicole,30,85.4502,-1.36982,4.62336,0.668935,0.838362,0.839759,0.802807
Italian Ice,31,89.1755,-0.971845,6.61037,0.745366,0.887407,0.879634,0.82886
Ice Dream,32,92.7795,-1.54001,4.63093,0.824646,0.918386,0.921507,0.883407
Chafed Wheat,33,90.7854,5.67983,11.4416,0.780121,0.965744,0.880182,0.81164
Here Comes the Sun,34,86.0309,9.55481,13.7205,0.680489,0.943905,0.817354,0.74386
Weekend Retreat,35,81.5596,12.0812,16.1716,0.59489,0.915003,0.761623,0.678577
Fortune's Prize,36,73.4178,16.163,18.2807,0.458034,0.853298,0.663203,0.579163
Money Tree,37,65.8861,18.7574,21.5918,0.351768,0.789618,0.576839,0.479856
Autumn's Hill,38,57.7055,23.7117,24.5973,0.256523,0.730643,0.478653,0.3801
Mandalay Road,39,47.5272,25.1107,26.6583,0.16425,0.627419,0.373446,0.271027
Antique Candle Light,40,90.9453,5.41367,7.76422,0.78363,0.957725,0.883239,0.840926
Chinese Cherry,41,88.0325,7.9749,9.33483,0.721329,0.946719,0.844168,0.797808
Antoinette Pink,42,81.4425,12.2919,12.022,0.59275,0.907672,0.760435,0.707821
Angel Breath,43,75.2534,15.3926,14.72,0.486825,0.863337,0.685292,0.623648
Calliope,44,67.7069,16.52,13.6409,0.37576,0.784731,0.603053,0.553797
Sizzling Hot,45,50.4865,22.1475,20.6583,0.18829,0.638214,0.412089,0.338032
Valentino,46,36.8178,23.7441,20.0217,0.0943991,0.499326,0.276534,0.218529
Sand Island,47,86.6134,10.8429,12.3875,0.69221,0.956924,0.820551,0.760317
Embrace,48,78.8865,15.8273,15.8183,0.547317,0.908951,0.722728,0.653816
Auburn Wave,49,71.6666,18.8127,15.5523,0.431647,0.846156,0.637769,0.581324
Simmering Ridge,50,65.8936,20.5683,17.837,0.351865,0.795574,0.572278,0.506867
Caramel Candy,51,54.5717,25.2212,22.3973,0.225174,0.701835,0.442948,0.365729
Spiced Carrot,52,48.757,26.167,24.1874,0.173975,0.64436,0.382375,0.299373
Remaining Embers,53,39.7283,25.2952,23.8848,0.11088,0.541212,0.298427,0.219601
Wink Pink,54,93.1479,4.30106,6.44967,0.833053,0.97145,0.910829,0.874916
Strawberry Whip,55,88.6575,10.9281,9.65389,0.734408,0.975401,0.843242,0.80286
Dainty Debutante,56,81.4554,19.6356,13.2256,0.592985,0.958745,0.740097,0.700773
Marble Pink,57,62.8826,31.0569,18.5479,0.314463,0.823736,0.508942,0.474538
Angelic Choir,58,52.718,32.8014,20.5762,0.207892,0.720261,0.399813,0.362646
Quintessential,59,40.9752,25.4466,17.396,0.118491,0.549777,0.310531,0.272792
Parlor Rose,60,36.5086,32.0456,19.0352,0.0927509,0.535708,0.244661,0.224641
Pinkathon,61,81.201,18.9756,9.08669,0.588353,0.944266,0.739917,0.728118
Blooming Perfect,62,68.7246,25.3926,10.6432,0.389631,0.846079,0.58851,0.587304
Impatient Heart,63,60.1679,27.9725,12.6877,0.283102,0.768114,0.492082,0.487109
Lord Baltimore,64,52.9838,32.1909,16.6085,0.210313,0.715881,0.405172,0.391538
Poppy Prose,65,49.9014,32.0139,17.4769,0.183362,0.681429,0.375018,0.356447
Wild Rose,66,35.9273,39.7258,18.0309,0.0897041,0.564892,0.205819,0.228246
Lover's Kiss,67,36.9823,36.688,17.622,0.0952834,0.561955,0.230375,0.239055
Summer Blush,68,90.6638,7.72345,7.24,0.777458,0.970256,0.874256,0.842218
Empire Rose,69,82.3301,12.3976,6.44084,0.609096,0.9076,0.770685,0.758226
O Fortuna,70,78.474,14.6739,7.28731,0.54021,0.881496,0.722824,0.711151
Ruby Eye,71,70.8947,17.6207,7.86818,0.420345,0.817393,0.634218,0.627683
Notice Me,72,61.2369,20.5557,8.47778,0.295189,0.730289,0.525984,0.525002
Corazon,73,49.3326,22.5662,11.3719,0.178655,0.617184,0.400824,0.388946
Emperor's Robe,74,36.9336,21.4367,14.7939,0.0950213,0.484181,0.285408,0.252022
Pink Duet,75,93.0361,5.37256,3.99807,0.830495,0.972511,0.907273,0.892342
Fantastic Pink,76,83.1898,10.747,3.76997,0.625212,0.900174,0.784858,0.786783
Pink Softness,77,78.2422,14.4439,3.44728,0.536243,0.869791,0.721625,0.736416
Be Mine,78,69.3791,16.9195,3.78982,0.398732,0.788748,0.620981,0.640534
Prophetess,79,63.0234,20.7115,5.7702,0.31615,0.746399,0.544236,0.561798
Abra Cadabra,80,47.1132,22.4077,7.10477,0.161059,0.58696,0.380352,0.395602
Berry Crush,81,33.7768,21.5771,11.85,0.0790144,0.449318,0.256211,0.242392
Rose Shadow,82,88.0894,10.8085,3.96334,0.722513,0.956177,0.838278,0.838931
Pink Coral,83,84.2629,12.8398,3.41718,0.645723,0.926156,0.791039,0.801458
Quiet Pink,84,79.9477,16.1077,3.55293,0.565888,0.900372,0.73539,0.75432
Fragrant Satchel,85,72.0312,21.7286,4.03932,0.437055,0.849461,0.635157,0.667559
King's Cloak,86,62.6878,25.668,3.78992,0.312139,0.76945,0.526485,0.573006
Cinnapink,87,50.2627,28.1402,5.57748,0.186394,0.650304,0.393562,0.437227
Casandra ,88,36.3058,24.762,8.71906,0.0916801,0.488083,0.270027,0.285069
Star of Morning,89,80.3069,18.321,5.53672,0.572266,0.923169,0.732743,0.74422
Moon Goddess,90,73.1789,19.5781,3.38119,0.454372,0.847252,0.653544,0.683926
Garnet Shadow,91,65.4748,22.4578,5.9874,0.346494,0.784445,0.564342,0.585768
Fresh Day,92,54.1683,26.0137,8.47028,0.221335,0.684934,0.438518,0.455843
Herald of Spring,93,49.4069,27.4081,9.99036,0.179265,0.642832,0.38676,0.39984
Starlet,94,39.8427,23.734,8.82207,0.111564,0.519799,0.306465,0.316512
Queen's Rose,95,32.4744,27.101,9.09189,0.0729734,0.460254,0.226487,0.249028
Morning Side,96,91.14,5.7668,3.72295,0.787917,0.953372,0.885192,0.873427
Odyssey Plum,97,81.2497,11.7276,3.01311,0.589237,0.883745,0.761359,0.771465
Lockhart,98,67.0308,14.678,1.20936,0.366727,0.743569,0.603057,0.633696
Lover's Tryst,99,56.0854,17.1619,1.5181,0.239976,0.64255,0.484646,0.51979
Whimsy,100,45.0273,19.1611,5.09644,0.145612,0.544108,0.369977,0.388006
Fruitful Orchard,101,32.8814,27.0835,10.4105,0.0748268,0.465715,0.230111,0.244622
Earthly Pleasure,102,31.0433,19.9843,9.93397,0.0666992,0.411614,0.236398,0.229701
Hosanna,103,78.0739,13.6813,1.68526,0.533375,0.859077,0.722189,0.7472
Victorian Cottage,104,75.0592,15.2077,1.6776,0.483724,0.835979,0.685894,0.715234
Harvest Blessing,105,68.4717,16.5129,0.692617,0.386153,0.770199,0.613176,0.652739
Rare Find,106,57.9114,20.4662,1.14967,0.258678,0.681516,0.493812,0.541341
Prosperity,107,46.0983,21.66,5.2007,0.153414,0.569411,0.373058,0.39808
Exotica,108,35.5075,25.7517,3.94353,0.0875462,0.479174,0.260139,0.30745
Kung Fu,109,30.0239,19.3119,3.695,0.0624563,0.390814,0.230142,0.258139
Baby Bunting,110,84.1808,13.6567,2.77027,0.644138,0.929561,0.788059,0.805474
Acadia Bloom,111,78.8498,17.7733,2.98314,0.546682,0.898102,0.71907,0.74695
Lady Flower,112,71.7645,17.7738,1.46897,0.433094,0.816135,0.644046,0.682194
Punch of Pink,113,60.9175,20.6786,0.851103,0.291542,0.714724,0.523699,0.574058
Montrose Rose,114,50.3812,22.0563,3.30146,0.187397,0.614031,0.413923,0.452125
Sophistication,115,30.8038,28.5521,2.77816,0.0656856,0.443175,0.206878,0.272399
Cordova Burgundy,116,33.0215,31.9202,6.87545,0.0754721,0.486959,0.213918,0.268395
Satin Slipper,117,88.0381,8.88697,6.23202,0.721444,0.946754,0.842376,0.821134
Miniature Posey,118,80.3958,13.8001,7.43746,0.573853,0.897445,0.745834,0.730429
Angela Canyon,119,67.9532,18.2779,8.49992,0.379087,0.790096,0.601553,0.592871
Summer's Eve,120,53.2315,22.7714,13.3626,0.212587,0.662964,0.438305,0.413264
Savanna,121,39.4951,24.5024,16.3776,0.109494,0.528224,0.299677,0.265714
Outrageous,122,36.6648,26.07,20.0196,0.093581,0.509179,0.267513,0.217922
Monterey Chestnut,123,35.4101,25.0964,19.7546,0.0870506,0.490877,0.259081,0.208369
Merlins Beard,124,90.8258,3.22408,6.29222,0.781007,0.936833,0.887696,0.850212
Pout,125,83.8322,7.46257,7.60759,0.637438,0.892267,0.799729,0.764896
Sauterne,126,78.1916,9.13875,8.04439,0.53538,0.842187,0.734305,0.701533
Andes Ash,127,68.6272,11.685,9.42914,0.388289,0.756892,0.626204,0.591907
Rocky Mountain,128,59.0759,12.8234,9.95397,0.271099,0.662089,0.524955,0.491579
Arrowhead,129,47.7512,14.9331,12.677,0.165994,0.559237,0.406732,0.363576
Evolution,130,35.5178,15.7484,14.4801,0.0875987,0.440086,0.288631,0.239994
Cliffswallow,131,89.1437,3.97761,6.61374,0.744691,0.924278,0.867093,0.829447
Summer Beige,132,80.5223,7.96521,8.38273,0.576115,0.860554,0.762374,0.723706
Natchez,133,67.7691,9.06027,8.9635,0.376598,0.729499,0.624059,0.585817
Baby Sprout,134,60.3057,9.46867,9.31147,0.284641,0.652972,0.546099,0.507607
Emerging Leaf,135,53.8023,10.7314,11.3499,0.217889,0.595752,0.47721,0.42965
Amazon Mist,136,43.7137,11.4442,11.9799,0.136411,0.496739,0.376975,0.329462
Hideaway,137,32.9618,11.8494,14.5182,0.0751966,0.394212,0.275445,0.216342
Coconut Macaroon,138,82.3349,4.76762,6.87046,0.609185,0.854756,0.790354,0.753618
Souffl?,139,77.3534,5.70418,6.75104,0.521215,0.806352,0.734214,0.701313
Cozy Cover,140,68.307,6.81603,7.88438,0.383899,0.718235,0.635447,0.598534
Bush Buck,141,60.6175,7.83908,8.66309,0.288144,0.644635,0.553416,0.514883
Ranch House,142,44.5307,8.14375,9.44887,0.142087,0.482093,0.393218,0.352893
Connoisseur,143,35.5384,8.5343,10.1582,0.087704,0.396309,0.307595,0.265693
Film Noir,144,25.299,6.02613,6.02417,0.0451279,0.279984,0.221963,0.200516
Flax Flower,145,90.3582,4.21261,7.39858,0.770795,0.941435,0.87983,0.836967
Truffles,146,87.2591,5.47532,7.56644,0.705361,0.916241,0.842351,0.802023
Cave Painting,147,77.5144,7.57613,9.80514,0.523916,0.827407,0.730749,0.681257
Oak Plank,148,71.8785,9.83745,12.495,0.434785,0.785751,0.664624,0.603337
Pavilion Tan,149,62.663,11.5003,13.4044,0.311844,0.697855,0.564404,0.503335
Temptation,150,50.1967,14.3094,15.0598,0.185838,0.584468,0.431905,0.370817
Coffee Shop,151,37.4463,13.6363,14.1539,0.0978089,0.448072,0.312089,0.258718
Flirt,152,88.4585,5.53083,13.1787,0.730225,0.941892,0.854529,0.773255
Take-Out,153,83.9475,6.83913,13.9832,0.639649,0.901964,0.801567,0.718965
Romulus ,154,80.1749,8.00822,16.9508,0.569917,0.873249,0.757193,0.657304
Cowhide,155,71.032,11.7101,20.8799,0.422341,0.802232,0.649666,0.534963
Skinny Dip,156,61.2844,13.8694,21.9862,0.295735,0.709868,0.542978,0.430308
Dodge Pole,157,52.9641,16.624,24.6879,0.210133,0.638668,0.451738,0.332297
Mover and Shaker,158,43.2886,14.7531,21.1433,0.133518,0.521658,0.363275,0.26628
Senior Moment,159,90.3025,3.8459,10.7876,0.769585,0.945524,0.879582,0.810885
Kingdom's Keys,160,84.8553,6.6961,15.411,0.657238,0.913882,0.811631,0.71807
Tiny Calf,161,79.7446,9.336,17.6159,0.562301,0.87859,0.749032,0.648198
Apple Pie,162,72.3951,9.06189,16.5923,0.442497,0.793358,0.671465,0.579123
Camel Train,163,61.7052,10.0201,18.2049,0.300591,0.685639,0.557734,0.459978
Veldrift,164,55.4418,11.5173,21.1067,0.233606,0.631558,0.490284,0.379159
Cavern Sand,165,50.332,11.8917,21.5858,0.18698,0.580078,0.438711,0.327499
Pastel Day,166,92.2654,3.35858,12.127,0.813008,0.966994,0.90243,0.822205
First Date,167,84.7381,5.54084,15.303,0.654949,0.904243,0.813301,0.717363
Candle Light,168,79.8686,7.30512,17.5388,0.564488,0.86607,0.755599,0.649603
Fossil Tan,169,73.8624,9.47541,20.9118,0.4649,0.81927,0.685335,0.563094
Blonde Shell,170,65.3083,11.8237,24.7974,0.344375,0.745176,0.589265,0.449476
Golden Glove,171,52.7168,13.703,26.1366,0.207881,0.620943,0.456975,0.319064
Chasm,172,44.507,13.7764,22.4784,0.14192,0.530428,0.377333,0.26816
Pale Gingersnap,173,88.9006,2.35841,11.0283,0.739537,0.919335,0.867726,0.793476
Maple Pecan,174,84.9148,3.87367,13.3841,0.658401,0.890619,0.81971,0.733134
3am Latte,175,70.8866,5.52794,17.3606,0.420227,0.754714,0.664303,0.557319
Country Dweller,176,63.8961,7.01711,17.2855,0.32674,0.688789,0.587825,0.487507
Weaver's Tool,177,55.5215,8.96436,20.4954,0.234389,0.616314,0.497582,0.383493
Cupcake,178,48.81,8.29529,19.4151,0.174402,0.54061,0.433029,0.32703
Fall in Season,179,43.6516,9.83137,21.6225,0.135985,0.498783,0.379258,0.265001
Fresh Linen,180,90.3068,1.81967,7.90009,0.769679,0.924176,0.885159,0.832172
Ageless,181,85.0144,2.94246,9.69991,0.660353,0.877355,0.823687,0.761318
Ivory Ridge,182,82.0964,3.61546,10.9852,0.604763,0.852548,0.789963,0.720591
Moth Wing,183,77.1897,3.41336,11.8594,0.518478,0.798877,0.737303,0.662058
Macadamia Brown,184,69.786,4.796,13.9374,0.404459,0.731881,0.654993,0.570386
Noble Crown,185,51.0688,7.21678,16.6715,0.19328,0.553889,0.458099,0.366625
Christmas Ornament,186,39.8583,6.38551,12.8504,0.111658,0.430205,0.352497,0.28721
White Lightning ,187,90.6086,2.14788,8.77774,0.776252,0.932003,0.887554,0.82897
Baguette,188,77.034,4.209,10.2927,0.515883,0.799632,0.733922,0.671956
Delicate Honeysweet,189,71.156,4.23716,11.4991,0.424149,0.738328,0.671127,0.601802
Village Crier,190,64.6978,5.34256,13.0806,0.336675,0.679433,0.600756,0.524756
Dusty Path,191,51.5392,6.22045,14.1114,0.197376,0.548905,0.465433,0.388178
Dapper,192,40.5781,7.01173,14.0572,0.11603,0.442588,0.357685,0.286118
Alpha Male,193,40.2036,6.97466,16.1161,0.113741,0.441305,0.354004,0.269347
August Moon,194,89.3553,0.534936,6.05592,0.749196,0.899565,0.878061,0.83527
Mossy Shade,195,84.6536,1.71983,6.64668,0.653303,0.857618,0.823228,0.779756
Overgrown,196,80.24,1.40473,7.95466,0.571075,0.80968,0.77568,0.722515
Thistle Gray,197,74.6704,1.88912,8.70989,0.477555,0.754239,0.714494,0.658031
Young Colt,198,64.8178,2.61295,9.80015,0.33818,0.65631,0.608965,0.548437
Sandy Shoes,199,50.2,3.6198,12.0272,0.185866,0.515739,0.458536,0.388795
Stony Field,200,36.9665,3.13442,9.99921,0.0951984,0.37888,0.333037,0.278486
Sparkling Champagne,201,92.5076,-0.647979,6.66296,0.818476,0.927227,0.915954,0.86525
Powder Cake,202,86.3855,1.27167,7.26793,0.687608,0.874886,0.843243,0.793892
Whale Bone,203,81.0981,1.08538,7.911,0.586487,0.816642,0.785766,0.731966
Marshy Habitat,204,71.8156,1.91037,7.83309,0.433852,0.721821,0.68423,0.634404
Wood Shadow,205,65.5984,1.64515,8.59626,0.348074,0.655492,0.619504,0.564664
Thatched Cottage,206,50.7803,2.32904,11.0833,0.190797,0.511821,0.467299,0.400438
Ares Shadow,207,38.179,2.31661,8.75348,0.101887,0.383643,0.346277,0.297276
Umber Style,208,91.9117,0.466675,5.6505,0.805067,0.926663,0.90674,0.866493
Polished,209,86.6078,1.06057,5.48579,0.692097,0.871642,0.8465,0.809508
Hidden Cove,210,80.5461,0.611109,6.08808,0.576541,0.802999,0.781204,0.739298
Light Lichen,211,74.6361,1.31809,7.84198,0.477012,0.747931,0.715621,0.663814
Big Spender,212,64.9756,2.6614,8.95537,0.340164,0.656648,0.610611,0.555978
Coastal Fog,213,48.7941,3.00538,9.23303,0.174274,0.492935,0.446489,0.393829
Wildwood,214,37.1235,3.44529,7.39662,0.0960477,0.378105,0.334154,0.296439
Herare White,215,89.4831,0.74744,7.32777,0.751925,0.905579,0.878748,0.827203
Earthling,216,85.8655,0.916271,8.38666,0.677186,0.869006,0.838208,0.779866
Oak Tone,217,80.6202,1.15939,9.59136,0.57787,0.815618,0.780136,0.714549
Drifting Sand,218,66.0055,1.58898,7.54939,0.35331,0.657244,0.624026,0.576182
Camel's Hump,219,50.3472,2.35387,9.91619,0.187109,0.505576,0.463125,0.404088
Monk's Cloth ,220,42.6763,2.54142,9.82782,0.129424,0.430398,0.388221,0.331948
Brown Suede,221,34.4136,3.23863,10.0242,0.0820858,0.355148,0.309194,0.25539
Au Natural,222,89.3992,-0.79743,9.99786,0.750132,0.899102,0.881148,0.805989
White Elephant,223,87.5669,0.591124,10.0352,0.711688,0.889172,0.857485,0.786021
Pebblebrook,224,83.6553,0.630262,11.1714,0.634056,0.848544,0.814227,0.73532
Roman Ruins,225,74.156,1.29742,12.3167,0.469472,0.751871,0.709874,0.626502
Sedge,226,68.4437,1.65176,11.9441,0.385769,0.692298,0.648703,0.570153
Moonscape,227,53.6217,2.41231,12.9366,0.216202,0.544396,0.495078,0.415408
Hannover Hills,228,40.22,2.21833,12.7111,0.113841,0.408969,0.365218,0.290524
Feather Stone,229,88.6739,0.233761,6.3663,0.734752,0.890424,0.871191,0.825412
Harrow Gate,230,85.2824,0.71773,7.54731,0.665623,0.859172,0.832418,0.779721
Desert Mirage,231,81.8012,0.999835,8.31667,0.59932,0.824625,0.793553,0.736518
Frond,232,75.9372,0.803415,8.57468,0.497851,0.759853,0.730646,0.672146
Deep Marsh,233,66.971,1.92826,11.4614,0.365936,0.677615,0.632721,0.558557
Industrial Strength,234,52.083,2.5366,13.6607,0.202182,0.530692,0.479394,0.395657
Black Heath,235,39.3376,3.23464,12.0039,0.108564,0.405413,0.35477,0.287246
Sunday Gloves,236,86.1524,3.9898,16.3284,0.682924,0.911106,0.83255,0.724543
Flan,237,82.2574,6.04202,18.8648,0.607745,0.886476,0.784476,0.66471
Crowned One,238,75.7928,8.59772,19.6352,0.495509,0.832908,0.708285,0.592057
Tailored Tan,239,67.1377,8.53871,21.0171,0.368146,0.739331,0.6171,0.493865
Spiced Rum,240,60.537,9.8318,23.1368,0.287238,0.678737,0.54569,0.413851
Prince Paris,241,53.6784,11.3468,24.1501,0.216731,0.615423,0.472814,0.341251
Rare Happening,242,47.8982,11.0541,25.0664,0.167144,0.553509,0.416729,0.28084
Frozen Custard,243,84.9113,5.74696,21.5346,0.658333,0.918993,0.813774,0.672866
Mulled Cider,244,80.8706,7.65691,24.7848,0.582373,0.891762,0.764527,0.60666
Caramel Cloud,245,73.9746,9.79692,26.9308,0.466645,0.831506,0.684922,0.5204
Cinnamon Toast,246,69.4944,10.9402,30.6282,0.400349,0.79352,0.634365,0.448526
Apple Crisp ,247,62.5103,13.4538,32.1051,0.310032,0.732819,0.555427,0.369915
Safari Sun,248,60.1669,13.9525,29.035,0.28309,0.706559,0.53058,0.369584
Butterscotch Mousse,249,56.1117,13.9993,29.158,0.240239,0.662567,0.489614,0.32995
Pumpkin Spice,250,92.3555,2.09646,13.353,0.81504,0.961297,0.906407,0.813676
Alchemy,251,87.4122,5.29791,18.5543,0.708503,0.938791,0.842777,0.721709
October Bounty,252,81.7601,6.44821,21.8333,0.598565,0.888806,0.777637,0.637576
Honey Glow,253,79.5588,7.91744,23.8849,0.559033,0.877312,0.749821,0.599748
Living Large,254,75.3932,8.97794,27.5517,0.489067,0.842986,0.702024,0.530051
Back to Basics,255,66.7805,11.8289,31.9989,0.363421,0.770368,0.603652,0.411874
Crazy Horse,256,53.9462,15.133,32.8735,0.219239,0.648997,0.46466,0.283327
Shortbread,257,87.555,3.1499,16.0842,0.711442,0.920387,0.850118,0.741252
Classic Terra,258,83.8979,4.45869,18.9725,0.638697,0.89406,0.806308,0.680914
Persian Fable,259,77.1601,5.26741,18.7001,0.517983,0.824103,0.731432,0.612292
Cocoa Nib,260,67.602,7.4003,21.8057,0.374349,0.738272,0.624684,0.492602
Tan Hide,261,62.6004,6.95133,24.0529,0.3111,0.684384,0.573829,0.426796
Log Cabin,262,55.8209,8.08722,24.7896,0.237344,0.619682,0.502251,0.356252
Country Charm,263,48.4333,9.79373,25.3689,0.171379,0.552284,0.425048,0.283317
Palest of Lemon,264,86.313,2.52614,15.292,0.686149,0.900388,0.83811,0.733675
Marshmallow Mist,265,82.6097,4.09528,18.9466,0.614306,0.877047,0.793179,0.667379
October Harvest,266,77.0324,4.41789,20.6121,0.515856,0.820182,0.731906,0.596769
Season Finale,267,68.4791,6.4613,24.1778,0.386255,0.745287,0.635871,0.484099
Rich Oak,268,58.0338,9.60276,28.1624,0.259965,0.656497,0.520357,0.354002
Sahara Wind,269,47.4106,10.0227,29.2751,0.163347,0.546733,0.414179,0.246726
Graham Crust,270,44.1279,9.07654,24.4144,0.139269,0.502406,0.385373,0.250245
Clover Honey,271,89.7025,1.9089,8.77338,0.756628,0.920042,0.878087,0.819019
Mineral Water,272,84.4767,2.05801,11.5618,0.649864,0.868896,0.819681,0.741553
Sandstone Palette,273,82.6722,2.24703,12.4656,0.615475,0.852135,0.799367,0.715561
Polished Marble,274,77.3832,3.78594,18.5091,0.521714,0.816084,0.73751,0.615674
Highlight,275,69.1321,4.45012,20.7619,0.395281,0.734078,0.648052,0.514785
Gold Taffeta,276,59.4878,6.02839,22.2026,0.275586,0.642704,0.54453,0.409219
Golden Freesia,277,48.4652,6.56345,22.6054,0.171634,0.530785,0.433466,0.301685
Barberry Sand,278,85.412,1.99042,13.701,0.668181,0.883241,0.829772,0.735724
Garden Country,279,80.4285,2.65862,16.4213,0.574437,0.838039,0.773401,0.662676
Wicker Basket,280,74.7938,3.05141,17.1264,0.479507,0.780131,0.711786,0.598685
Olive Gold,281,71.2525,3.38639,19.5881,0.425559,0.748096,0.673075,0.544524
Vintage Gold,282,66.7332,5.18182,23.5442,0.362798,0.717091,0.620887,0.470877
Historic Town,283,58.736,4.98731,23.5157,0.267433,0.630008,0.539247,0.392407
Queen Lioness,284,42.6541,5.23018,23.7574,0.129277,0.464861,0.380453,0.240255
Eugenia,285,92.2946,1.03048,10.9443,0.813667,0.947454,0.908756,0.830963
Yellow Page,286,88.4114,2.39188,12.7247,0.729238,0.917692,0.861966,0.775475
Muslin Tint,287,83.3733,3.74046,16.3649,0.628688,0.878286,0.80275,0.694532
Golden Buff,288,81.8069,3.95456,21.5433,0.599424,0.871693,0.784442,0.639621
Prairie Sand,289,73.4713,4.77915,23.1853,0.458857,0.787524,0.692702,0.541389
Key Keeper,290,59.0756,6.188,25.2393,0.271095,0.643367,0.539617,0.38383
Rutherford,291,50.2866,6.9227,23.68,0.186597,0.553094,0.450318,0.311369
Privileged,292,92.979,0.719996,10.3672,0.829191,0.951551,0.917262,0.842785
What Inheritance?,293,86.9143,2.70727,15.6393,0.698318,0.909123,0.844226,0.737587
Rub Elbows,294,84.4136,2.97316,18.231,0.648639,0.888002,0.815745,0.69157
Spanish Cream,295,79.4854,3.22211,20.0395,0.557747,0.838142,0.761317,0.626246
Only Yesterday,296,73.4203,4.97095,23.191,0.458072,0.788248,0.691688,0.540874
Gold Season,297,64.6894,4.80954,24.4631,0.33657,0.693913,0.600494,0.443889
Brocade,298,49.17,6.67941,27.7802,0.177325,0.544595,0.439555,0.272371
Allison Lace,299,92.9144,0.619812,11.1738,0.827718,0.95187,0.916659,0.835961
Ivory Parchment,300,90.6703,1.29891,13.7439,0.777602,0.937195,0.889557,0.792157
Corinthian Pillar,301,84.5152,2.18875,18.2538,0.65061,0.883607,0.818787,0.692305
Rich Reward,302,68.3537,4.2103,21.8233,0.384537,0.725725,0.640349,0.499243
Bauhaus Gold,303,64.3993,4.73212,25.3083,0.332953,0.691474,0.597586,0.434937
Gold Tangiers,304,57.4925,4.86328,25.4483,0.254305,0.618595,0.526756,0.366734
Golden Summer,305,46.2566,6.02967,24.4228,0.154591,0.506978,0.4131,0.268702
Saffron Tint,306,92.9336,0.545903,11.3891,0.828155,0.952008,0.917021,0.83453
Putting Bench,307,91.1474,1.13356,14.8674,0.788082,0.943704,0.895102,0.788854
Coconut Crumble,308,83.7681,2.616,22.7395,0.636211,0.886411,0.808948,0.651028
Palmetto Bluff,309,76.3576,3.27927,22.2974,0.504712,0.807798,0.727248,0.577151
Sassafras,310,68.6361,3.58004,25.0403,0.388412,0.729528,0.644431,0.478686
Life Exotic,311,63.2018,4.57798,28.2143,0.318296,0.681472,0.585296,0.402192
September Gold,312,50.8029,5.14813,28.4258,0.190991,0.553377,0.459117,0.282485
Chic Magnet,313,89.9416,1.09696,13.7826,0.761772,0.927583,0.881953,0.783891
Trade Secret,314,87.0661,1.65734,15.3928,0.701412,0.902736,0.848527,0.740833
Peaceable Kingdom,315,82.8868,2.22665,18.0783,0.619499,0.865385,0.800932,0.676327
Golden Lake,316,80.8686,1.9981,20.9994,0.582337,0.846666,0.779144,0.633348
